source_modality,target_modality,source_feature,target_feature,score
metabolomics,proteomics,metabolomics_58,proteomics_41,0.2865176498889923
metabolomics,proteomics,metabolomics_58,proteomics_99,0.28191468119621277
metabolomics,proteomics,metabolomics_48,proteomics_41,0.27909961342811584
metabolomics,proteomics,metabolomics_58,proteomics_105,0.2789209187030792
metabolomics,proteomics,metabolomics_38,proteomics_41,0.278548002243042
metabolomics,proteomics,metabolomics_37,proteomics_111,0.27485722303390503
metabolomics,proteomics,metabolomics_37,proteomics_41,0.273566871881485
metabolomics,proteomics,metabolomics_35,proteomics_41,0.2735153138637543
metabolomics,proteomics,metabolomics_27,proteomics_11,0.27092668414115906
metabolomics,proteomics,metabolomics_75,proteomics_46,0.267386257648468
metabolomics,proteomics,metabolomics_35,proteomics_46,0.2662597596645355
metabolomics,proteomics,metabolomics_58,proteomics_34,0.2642664313316345
metabolomics,proteomics,metabolomics_58,proteomics_51,0.2623673975467682
metabolomics,proteomics,metabolomics_58,proteomics_73,0.26086196303367615
metabolomics,proteomics,metabolomics_73,proteomics_41,0.26068249344825745
metabolomics,proteomics,metabolomics_58,proteomics_7,0.2605915665626526
metabolomics,proteomics,metabolomics_25,proteomics_72,0.25822675228118896
metabolomics,proteomics,metabolomics_25,proteomics_41,0.25783008337020874
metabolomics,proteomics,metabolomics_33,proteomics_33,0.2521628141403198
metabolomics,proteomics,metabolomics_25,proteomics_46,0.25203800201416016
metabolomics,proteomics,metabolomics_9,proteomics_7,0.2518901824951172
metabolomics,proteomics,metabolomics_25,proteomics_16,0.24979297816753387
metabolomics,proteomics,metabolomics_58,proteomics_37,0.2484530508518219
metabolomics,proteomics,metabolomics_31,proteomics_34,0.24840795993804932
metabolomics,proteomics,metabolomics_24,proteomics_41,0.240026593208313
metabolomics,proteomics,metabolomics_77,proteomics_0,0.23840177059173584
metabolomics,proteomics,metabolomics_19,proteomics_27,0.2381325364112854
metabolomics,proteomics,metabolomics_75,proteomics_103,0.2361830621957779
metabolomics,proteomics,metabolomics_27,proteomics_29,0.2331225872039795
metabolomics,proteomics,metabolomics_43,proteomics_36,0.23214800655841827
metabolomics,proteomics,metabolomics_13,proteomics_29,0.2319604456424713
metabolomics,proteomics,metabolomics_60,proteomics_34,0.2314969301223755
metabolomics,proteomics,metabolomics_24,proteomics_114,0.23121722042560577
metabolomics,proteomics,metabolomics_79,proteomics_11,0.22982771694660187
metabolomics,proteomics,metabolomics_77,proteomics_71,0.2294088453054428
metabolomics,proteomics,metabolomics_73,proteomics_111,0.2293781042098999
