source_modality,source_feature,target_modality,target_feature,correlation
metabolomics,metabolomics_60,proteomics,proteomics_45,0.8317873630060412
metabolomics,metabolomics_60,proteomics,proteomics_110,0.8899025004002795
metabolomics,metabolomics_60,proteomics,proteomics_22,0.9206312242803361
metabolomics,metabolomics_60,proteomics,proteomics_70,0.9714577689446062
metabolomics,metabolomics_60,proteomics,proteomics_69,0.9155364673228331
metabolomics,metabolomics_60,proteomics,proteomics_26,0.8958467238237676
metabolomics,metabolomics_60,proteomics,proteomics_59,0.9410257022263775
metabolomics,metabolomics_60,proteomics,proteomics_92,0.9470533306113189
metabolomics,metabolomics_60,proteomics,proteomics_81,0.9071225051798391
metabolomics,metabolomics_60,proteomics,proteomics_2,0.9552345584347736
metabolomics,metabolomics_17,proteomics,proteomics_45,0.9193126705318846
metabolomics,metabolomics_17,proteomics,proteomics_110,0.8912739461415982
metabolomics,metabolomics_17,proteomics,proteomics_22,0.9261623384386318
metabolomics,metabolomics_17,proteomics,proteomics_70,0.8733948832831774
metabolomics,metabolomics_17,proteomics,proteomics_69,0.9275462385137856
metabolomics,metabolomics_17,proteomics,proteomics_26,0.9348117560723344
metabolomics,metabolomics_17,proteomics,proteomics_59,0.9305973978530214
metabolomics,metabolomics_17,proteomics,proteomics_92,0.94205552683285
metabolomics,metabolomics_17,proteomics,proteomics_81,0.9022195753443328
metabolomics,metabolomics_17,proteomics,proteomics_2,0.9118972630523072
metabolomics,metabolomics_77,proteomics,proteomics_45,0.9118552967976546
metabolomics,metabolomics_77,proteomics,proteomics_110,0.8299035460809279
metabolomics,metabolomics_77,proteomics,proteomics_22,0.9151339033547442
metabolomics,metabolomics_77,proteomics,proteomics_70,0.9233751822630952
metabolomics,metabolomics_77,proteomics,proteomics_69,0.9420868318402679
metabolomics,metabolomics_77,proteomics,proteomics_26,0.8835139779273979
metabolomics,metabolomics_77,proteomics,proteomics_59,0.9601698776823684
metabolomics,metabolomics_77,proteomics,proteomics_92,0.9656139818211033
metabolomics,metabolomics_77,proteomics,proteomics_81,0.9513122422361407
metabolomics,metabolomics_77,proteomics,proteomics_2,0.9484799913563257
metabolomics,metabolomics_9,proteomics,proteomics_45,0.8735212780428306
metabolomics,metabolomics_9,proteomics,proteomics_110,0.965870996790622
metabolomics,metabolomics_9,proteomics,proteomics_22,0.9682084873915484
metabolomics,metabolomics_9,proteomics,proteomics_70,0.9435387060969851
metabolomics,metabolomics_9,proteomics,proteomics_69,0.9005999127581197
metabolomics,metabolomics_9,proteomics,proteomics_26,0.9185643644553839
metabolomics,metabolomics_9,proteomics,proteomics_59,0.9551421981697981
metabolomics,metabolomics_9,proteomics,proteomics_92,0.9441112021868768
metabolomics,metabolomics_9,proteomics,proteomics_81,0.9216659036788665
metabolomics,metabolomics_9,proteomics,proteomics_2,0.9514978336636477
metabolomics,metabolomics_36,proteomics,proteomics_45,0.9004582227033993
metabolomics,metabolomics_36,proteomics,proteomics_110,0.9503829550721722
metabolomics,metabolomics_36,proteomics,proteomics_22,0.9305509643902398
metabolomics,metabolomics_36,proteomics,proteomics_70,0.9558992000903488
metabolomics,metabolomics_36,proteomics,proteomics_69,0.9116642068220312
metabolomics,metabolomics_36,proteomics,proteomics_26,0.9274619213985071
metabolomics,metabolomics_36,proteomics,proteomics_59,0.9704695885373747
metabolomics,metabolomics_36,proteomics,proteomics_92,0.9324996896903519
metabolomics,metabolomics_36,proteomics,proteomics_81,0.9332997437046576
metabolomics,metabolomics_36,proteomics,proteomics_2,0.9710187213724149
metabolomics,metabolomics_52,proteomics,proteomics_45,0.8941469610038248
metabolomics,metabolomics_52,proteomics,proteomics_110,0.9434002666234909
metabolomics,metabolomics_52,proteomics,proteomics_22,0.9414546966432445
metabolomics,metabolomics_52,proteomics,proteomics_70,0.9084694977898886
metabolomics,metabolomics_52,proteomics,proteomics_69,0.9675035411695918
metabolomics,metabolomics_52,proteomics,proteomics_26,0.8945535602854774
metabolomics,metabolomics_52,proteomics,proteomics_59,0.9304968385096217
metabolomics,metabolomics_52,proteomics,proteomics_92,0.9458446552799189
metabolomics,metabolomics_52,proteomics,proteomics_81,0.9220002156877841
metabolomics,metabolomics_52,proteomics,proteomics_2,0.9171835211195853
metabolomics,metabolomics_4,proteomics,proteomics_45,0.965020462132271
metabolomics,metabolomics_4,proteomics,proteomics_110,0.8974952444420059
metabolomics,metabolomics_4,proteomics,proteomics_22,0.9396108019581277
metabolomics,metabolomics_4,proteomics,proteomics_70,0.952170450047101
metabolomics,metabolomics_4,proteomics,proteomics_69,0.9448330919685511
metabolomics,metabolomics_4,proteomics,proteomics_26,0.9516812932502516
metabolomics,metabolomics_4,proteomics,proteomics_59,0.9141182402053772
metabolomics,metabolomics_4,proteomics,proteomics_92,0.8968984221087744
metabolomics,metabolomics_4,proteomics,proteomics_81,0.9095767944047731
metabolomics,metabolomics_4,proteomics,proteomics_2,0.9605261719592578
metabolomics,metabolomics_59,proteomics,proteomics_45,0.9318748411056252
metabolomics,metabolomics_59,proteomics,proteomics_110,0.8831850743848252
metabolomics,metabolomics_59,proteomics,proteomics_22,0.9007980031677663
metabolomics,metabolomics_59,proteomics,proteomics_70,0.9193491080741415
metabolomics,metabolomics_59,proteomics,proteomics_69,0.8934176477166841
metabolomics,metabolomics_59,proteomics,proteomics_26,0.978615677928146
metabolomics,metabolomics_59,proteomics,proteomics_59,0.9245896627861049
metabolomics,metabolomics_59,proteomics,proteomics_92,0.9349784396608258
metabolomics,metabolomics_59,proteomics,proteomics_81,0.966077491112013
metabolomics,metabolomics_59,proteomics,proteomics_2,0.9169867185372268
metabolomics,metabolomics_51,proteomics,proteomics_45,0.9156502815254245
metabolomics,metabolomics_51,proteomics,proteomics_110,0.9251682370471734
metabolomics,metabolomics_51,proteomics,proteomics_22,0.9271340078860361
metabolomics,metabolomics_51,proteomics,proteomics_70,0.959926203770887
metabolomics,metabolomics_51,proteomics,proteomics_69,0.9536675584541678
metabolomics,metabolomics_51,proteomics,proteomics_26,0.9067710685896959
metabolomics,metabolomics_51,proteomics,proteomics_59,0.9701687847881714
metabolomics,metabolomics_51,proteomics,proteomics_92,0.887745602182091
metabolomics,metabolomics_51,proteomics,proteomics_81,0.9128077781538806
metabolomics,metabolomics_51,proteomics,proteomics_2,0.9019015179231448
metabolomics,metabolomics_42,proteomics,proteomics_45,0.9114108783317854
metabolomics,metabolomics_42,proteomics,proteomics_110,0.8845887935940944
metabolomics,metabolomics_42,proteomics,proteomics_22,0.9327153063570596
metabolomics,metabolomics_42,proteomics,proteomics_70,0.9489039981729489
metabolomics,metabolomics_42,proteomics,proteomics_69,0.9482729576717667
metabolomics,metabolomics_42,proteomics,proteomics_26,0.9686648070383648
metabolomics,metabolomics_42,proteomics,proteomics_59,0.9256403188807041
metabolomics,metabolomics_42,proteomics,proteomics_92,0.9431357411058164
metabolomics,metabolomics_42,proteomics,proteomics_81,0.9406312352374566
metabolomics,metabolomics_42,proteomics,proteomics_2,0.9179997800410362
metabolomics,metabolomics_50,biochemistry,biochemistry_25,0.8340388244536825
metabolomics,metabolomics_50,biochemistry,biochemistry_37,0.9266065747808955
metabolomics,metabolomics_50,biochemistry,biochemistry_14,0.8766670918430759
metabolomics,metabolomics_50,biochemistry,biochemistry_6,0.9526768786376035
metabolomics,metabolomics_50,biochemistry,biochemistry_12,0.9151290596006584
metabolomics,metabolomics_50,biochemistry,biochemistry_1,0.9180222828393962
metabolomics,metabolomics_50,biochemistry,biochemistry_10,0.9370441102288288
metabolomics,metabolomics_50,biochemistry,biochemistry_30,0.8667295721621207
metabolomics,metabolomics_30,biochemistry,biochemistry_25,0.9234434388302405
metabolomics,metabolomics_30,biochemistry,biochemistry_37,0.9355470929276781
metabolomics,metabolomics_30,biochemistry,biochemistry_14,0.9229373502368922
metabolomics,metabolomics_30,biochemistry,biochemistry_6,0.9706707476269624
metabolomics,metabolomics_30,biochemistry,biochemistry_12,0.9282322772501123
metabolomics,metabolomics_30,biochemistry,biochemistry_1,0.8622701649589187
metabolomics,metabolomics_30,biochemistry,biochemistry_10,0.9740489373456823
metabolomics,metabolomics_30,biochemistry,biochemistry_30,0.9222228778871828
metabolomics,metabolomics_13,biochemistry,biochemistry_25,0.9208892775088416
metabolomics,metabolomics_13,biochemistry,biochemistry_37,0.9114347904207456
metabolomics,metabolomics_13,biochemistry,biochemistry_14,0.8797005339972227
metabolomics,metabolomics_13,biochemistry,biochemistry_6,0.9084753509953432
metabolomics,metabolomics_13,biochemistry,biochemistry_12,0.8991188260686416
metabolomics,metabolomics_13,biochemistry,biochemistry_1,0.9677989986819182
metabolomics,metabolomics_13,biochemistry,biochemistry_10,0.9640751731274695
metabolomics,metabolomics_13,biochemistry,biochemistry_30,0.8374953493922482
metabolomics,metabolomics_16,biochemistry,biochemistry_25,0.9269944584740885
metabolomics,metabolomics_16,biochemistry,biochemistry_37,0.8926168291671294
metabolomics,metabolomics_16,biochemistry,biochemistry_14,0.9137569405615873
metabolomics,metabolomics_16,biochemistry,biochemistry_6,0.92771952164848
metabolomics,metabolomics_16,biochemistry,biochemistry_12,0.8762300963465053
metabolomics,metabolomics_16,biochemistry,biochemistry_1,0.9324867283435048
metabolomics,metabolomics_16,biochemistry,biochemistry_10,0.9488080595160723
metabolomics,metabolomics_16,biochemistry,biochemistry_30,0.9507689170776528
metabolomics,metabolomics_34,biochemistry,biochemistry_25,0.8809927370287998
metabolomics,metabolomics_34,biochemistry,biochemistry_37,0.9110390051096984
metabolomics,metabolomics_34,biochemistry,biochemistry_14,0.9467078671186584
metabolomics,metabolomics_34,biochemistry,biochemistry_6,0.9409336726970922
metabolomics,metabolomics_34,biochemistry,biochemistry_12,0.9300338505022193
metabolomics,metabolomics_34,biochemistry,biochemistry_1,0.9690389774516665
metabolomics,metabolomics_34,biochemistry,biochemistry_10,0.9416243284295717
metabolomics,metabolomics_34,biochemistry,biochemistry_30,0.9565260524871696
metabolomics,metabolomics_25,biochemistry,biochemistry_25,0.9457415799647234
metabolomics,metabolomics_25,biochemistry,biochemistry_37,0.9372507523422013
metabolomics,metabolomics_25,biochemistry,biochemistry_14,0.8881693419604492
metabolomics,metabolomics_25,biochemistry,biochemistry_6,0.8982556485709337
metabolomics,metabolomics_25,biochemistry,biochemistry_12,0.9369612268124247
metabolomics,metabolomics_25,biochemistry,biochemistry_1,0.9532526203952634
metabolomics,metabolomics_25,biochemistry,biochemistry_10,0.881293779483512
metabolomics,metabolomics_25,biochemistry,biochemistry_30,0.9266301057001758
metabolomics,metabolomics_74,biochemistry,biochemistry_25,0.8592057442853859
metabolomics,metabolomics_74,biochemistry,biochemistry_37,0.9382090220178702
metabolomics,metabolomics_74,biochemistry,biochemistry_14,0.9554595538152184
metabolomics,metabolomics_74,biochemistry,biochemistry_6,0.9112619507592686
metabolomics,metabolomics_74,biochemistry,biochemistry_12,0.8887935030756321
metabolomics,metabolomics_74,biochemistry,biochemistry_1,0.9496206975526678
metabolomics,metabolomics_74,biochemistry,biochemistry_10,0.9036148107393874
metabolomics,metabolomics_74,biochemistry,biochemistry_30,0.9677074558207155
metabolomics,metabolomics_19,biochemistry,biochemistry_25,0.9417707799558388
metabolomics,metabolomics_19,biochemistry,biochemistry_37,0.9162295608707741
metabolomics,metabolomics_19,biochemistry,biochemistry_14,0.910138259557474
metabolomics,metabolomics_19,biochemistry,biochemistry_6,0.9581787668084092
metabolomics,metabolomics_19,biochemistry,biochemistry_12,0.9391737154700813
metabolomics,metabolomics_19,biochemistry,biochemistry_1,0.9111801094521088
metabolomics,metabolomics_19,biochemistry,biochemistry_10,0.922471455949603
metabolomics,metabolomics_19,biochemistry,biochemistry_30,0.950361857524438
metabolomics,metabolomics_1,biochemistry,biochemistry_25,0.9609790537546249
metabolomics,metabolomics_1,biochemistry,biochemistry_37,0.92018488874484
metabolomics,metabolomics_1,biochemistry,biochemistry_14,0.8985108175389303
metabolomics,metabolomics_1,biochemistry,biochemistry_6,0.9362340598940578
metabolomics,metabolomics_1,biochemistry,biochemistry_12,0.8758668708672471
metabolomics,metabolomics_1,biochemistry,biochemistry_1,0.9322938499067079
metabolomics,metabolomics_1,biochemistry,biochemistry_10,0.9256072184876958
metabolomics,metabolomics_1,biochemistry,biochemistry_30,0.9057371852145742
metabolomics,metabolomics_64,biochemistry,biochemistry_25,0.9278444763030655
metabolomics,metabolomics_64,biochemistry,biochemistry_37,0.9647236566154312
metabolomics,metabolomics_64,biochemistry,biochemistry_14,0.951236369372754
metabolomics,metabolomics_64,biochemistry,biochemistry_6,0.9573533360719794
metabolomics,metabolomics_64,biochemistry,biochemistry_12,0.9408810379691033
metabolomics,metabolomics_64,biochemistry,biochemistry_1,0.8934968768498561
metabolomics,metabolomics_64,biochemistry,biochemistry_10,0.9562872203218323
metabolomics,metabolomics_64,biochemistry,biochemistry_30,0.9406568975974215
metabolomics,metabolomics_68,lipidomics,lipidomics_94,0.9547137814759968
metabolomics,metabolomics_68,lipidomics,lipidomics_24,0.9358944280770988
metabolomics,metabolomics_68,lipidomics,lipidomics_17,0.8527057425764626
metabolomics,metabolomics_68,lipidomics,lipidomics_67,0.9480290903790269
metabolomics,metabolomics_68,lipidomics,lipidomics_36,0.9478580239956538
metabolomics,metabolomics_68,lipidomics,lipidomics_75,0.9369589520674793
metabolomics,metabolomics_68,lipidomics,lipidomics_63,0.8837695516213345
metabolomics,metabolomics_68,lipidomics,lipidomics_42,0.9417914288623204
metabolomics,metabolomics_68,lipidomics,lipidomics_81,0.9236411650547215
metabolomics,metabolomics_68,lipidomics,lipidomics_10,0.9485417838555489
metabolomics,metabolomics_69,lipidomics,lipidomics_94,0.9439316130333393
metabolomics,metabolomics_69,lipidomics,lipidomics_24,0.9614575250548435
metabolomics,metabolomics_69,lipidomics,lipidomics_17,0.8823609211305986
metabolomics,metabolomics_69,lipidomics,lipidomics_67,0.9665278294643387
metabolomics,metabolomics_69,lipidomics,lipidomics_36,0.8916572084005219
metabolomics,metabolomics_69,lipidomics,lipidomics_75,0.936363130490274
metabolomics,metabolomics_69,lipidomics,lipidomics_63,0.778443645503825
metabolomics,metabolomics_69,lipidomics,lipidomics_42,0.9065444416299866
metabolomics,metabolomics_69,lipidomics,lipidomics_81,0.8790270247761317
metabolomics,metabolomics_69,lipidomics,lipidomics_10,0.9604089077481893
metabolomics,metabolomics_11,lipidomics,lipidomics_94,0.9374117329512359
metabolomics,metabolomics_11,lipidomics,lipidomics_24,0.9154112966701262
metabolomics,metabolomics_11,lipidomics,lipidomics_17,0.9705297086718053
metabolomics,metabolomics_11,lipidomics,lipidomics_67,0.8958304220598696
metabolomics,metabolomics_11,lipidomics,lipidomics_36,0.9417379898619214
metabolomics,metabolomics_11,lipidomics,lipidomics_75,0.9220916521328265
metabolomics,metabolomics_11,lipidomics,lipidomics_63,0.948566260004247
